Month     Less0   Lo30    Med40   Hi30    Lo20    Qnt2    Qnt3    Qnt4    Hi20    Lo10    Dec2    Dec3    Dec4    Dec5    Dec6    Dec7    Dec8    Dec9    Hi10
196407    1.75    0.88    3.36    2.69    0.60    2.47    2.38    4.56    2.25    0.28    0.86    2.68    2.24    2.41    2.30    5.22    3.07    2.01    2.46
196408   -4.70   -1.83   -0.54    0.05   -1.79   -1.35   -1.36    0.17    1.01   -2.08   -1.55   -2.07   -0.53   -1.43   -1.17    0.57   -0.77    0.35    1.60
196409    7.63    2.44    3.26    4.07    2.18    3.65    2.76    3.71    5.27    3.05    1.48    4.13    3.09    2.33    3.85    4.00    3.02    3.81    6.55
196410    3.67    0.09    1.68    0.68   -0.14    1.14    3.16    0.25    0.76   -1.04    0.60    1.50    0.73    3.44    2.48    0.10    0.62    0.60    0.89
196411   -2.04    0.22    0.63    0.50    0.18    0.38    2.04   -0.17   -1.49    0.69   -0.23    0.44    0.32    2.07    1.94   -1.19    2.27   -1.08   -1.83
196412   -4.12    1.20    0.01   -0.87    1.37   -0.09   -0.29    0.22   -1.23    1.02    1.66    0.10   -0.31   -0.51    0.26    0.57   -0.57   -2.26   -0.34
196501   10.46    4.73    2.55    3.28    4.53    5.31    1.33    3.19    4.15    6.33    3.08    5.99    4.51    0.04    4.51    3.47    2.53    5.88    2.70
196502    5.91    1.10   -0.36    1.49    0.98    2.19   -0.61   -0.51    1.87    1.89    0.22    1.84    2.59   -1.40    1.26   -1.23    1.17    3.88    0.12
196503    0.86   -1.38   -1.04   -0.62   -1.50   -0.40   -2.11   -0.29   -0.05   -1.49   -1.52   -0.61   -0.14   -2.40   -1.47    0.06   -1.11   -0.77    0.60
196504    5.30    3.65    3.56    2.89    3.89    2.33    2.09    4.70    4.33    6.08    2.03    2.22    2.45    1.75    2.85    6.03    1.61    3.47    5.08
196505    2.04    0.53   -1.01   -0.62    0.79   -1.14   -0.27   -1.24   -1.73   -0.11    1.58   -1.09   -1.20   -0.34   -0.13   -1.91    0.39   -0.22   -3.05
196506  -12.53   -4.81   -4.65   -5.51   -4.68   -5.60   -3.33   -5.34   -7.49   -4.86   -4.53   -5.59   -5.60   -2.44   -5.31   -6.02   -3.75   -7.60   -7.38
196507    4.77    1.03    2.10    3.14    1.45   -0.01    2.40    2.40    3.81    2.63    0.37   -0.59    0.91    2.03    3.85    2.72    2.07    3.49    4.14
196508    9.36    2.57    3.32    3.82    2.72    2.68    2.96    4.62    3.30    4.25    1.27    2.00    3.73    2.68    4.02    4.61    4.64    3.60    3.00
196509    4.16    3.26    3.27    4.04    3.15    2.81    3.95    2.87    4.75    2.83    3.47    3.66    1.49    4.01    3.75    2.83    2.90    5.41    4.07
196510    7.95    1.81    3.67    6.11    1.64    2.57    3.95    5.12    5.98    3.13    0.19    2.50    2.69    3.88    4.22    3.93    6.31    5.57    6.42
196511   16.19   -0.13    0.00    1.65   -0.29    0.69   -0.81    1.09    3.00    1.51   -2.07    0.48    1.03   -1.98    3.62    2.72   -0.53    3.87    2.09
196512    2.68    0.86    0.89    3.45    0.98    0.27    1.18    2.18    3.49    1.71    0.21    0.44    0.01    1.12    1.36    0.99    3.39    3.90    3.06
196601    6.76   -0.22    1.20    4.82   -0.29    0.36    0.70    4.88    4.68   -0.15   -0.44    0.07    0.82   -0.28    4.16    4.70    5.05    5.75    3.54
196602    9.47   -0.87   -1.78    0.34   -0.51   -2.33   -1.82   -0.90    1.41   -0.08   -0.96   -2.26   -2.45   -2.72    1.22   -0.37   -1.44    0.89    1.98
196603    1.98   -1.71   -2.48   -2.22   -1.66   -1.64   -2.58   -4.12   -1.16    0.73   -4.22   -1.91   -1.23   -2.54   -2.71   -4.19   -4.04    0.77   -3.26
196604    8.34    3.09    0.98    2.34    3.39    1.54    0.64    1.65    3.48    4.42    2.22    1.95    0.90    0.05    2.55    2.97    0.33    3.82    3.10
196605  -16.10   -4.31   -5.50   -7.26   -4.13   -4.93   -5.48   -7.37   -6.91   -4.04   -4.24   -5.02   -4.80   -5.10   -6.68   -6.84   -7.90   -6.03   -7.91
196606    0.11   -1.46   -1.01    0.04   -0.94   -2.74   -0.93   -0.17   -0.12   -0.39   -1.56   -3.59   -1.42   -1.65    1.38   -0.67    0.34    1.09   -1.52
196607   -4.23   -1.72   -0.66   -1.30   -2.02   -0.59   -0.15   -1.49   -0.83   -2.41   -1.20   -0.10   -0.76    0.08   -0.44   -1.29   -1.89   -1.00   -0.54
196608  -13.65   -7.45   -7.18   -8.11   -7.20   -6.91   -7.47   -8.41   -8.04   -7.05   -7.51   -8.72   -6.26   -8.83   -5.73   -8.51   -8.21   -7.56   -8.82
196609   -2.52   -1.66    0.68   -1.45   -2.05    0.37    1.28    0.00   -2.18   -3.04    0.03    0.34    0.39    0.84    1.81    0.28   -0.55   -2.49   -1.67
196610   -8.59    3.30    5.72    3.96    3.02    7.29    5.88    2.08    2.91    1.49    6.12    4.76    8.17    5.73    6.06    0.47    5.24    2.84    3.02
196611   11.56    5.49   -1.53    0.82    5.85   -0.92    0.51   -1.61    0.44    7.76    2.12    3.70   -2.48    1.22   -0.35   -3.15    1.26   -0.72    2.37
196612   -2.70   -0.19    0.83    0.77   -0.43    0.53    1.38    0.65    1.24   -1.23    1.21    1.08    0.33    0.81    2.08    0.90    0.21    1.88    0.22
196701   25.03    7.34    7.76   13.05    7.38    6.32    7.15   12.02   14.97    8.03    6.06    7.14    6.02    7.00    7.34   12.71   10.77   13.91   16.68
196702    5.84    3.01   -0.64   -0.60    3.22    0.18   -0.39   -1.26   -0.38    4.21    1.21    1.93   -0.47   -1.59    1.08   -1.46   -0.88   -1.49    1.40
196703    2.77    4.00    4.38    5.65    4.07    3.96    4.14    5.49    5.70    4.04    4.13    3.64    4.08    4.44    3.79    5.43    5.58    3.86    8.52
196704    4.97    5.88    3.15    3.11    6.41    1.26    3.32    6.02    3.94    7.27    4.59    3.10    0.57    3.90    2.63    8.20    2.09    3.31    4.85
196705   -2.43   -4.87   -4.14   -2.62   -5.16   -3.90   -3.80   -3.69   -3.39   -5.68   -4.02   -3.35   -4.11   -5.39   -1.88   -4.76   -1.65   -1.99   -5.42
196706   10.29    2.41    1.46    4.81    2.79    1.01    1.76    2.62    4.69    3.32    1.65    0.39    1.25    0.72    2.97    1.36    4.95    4.01    5.71
196707   14.86    2.83    6.87    7.41    4.52    1.72    7.33    7.67    7.68    4.73    4.20   -1.08    5.49    6.36    8.59    8.27    6.93    8.41    6.65
196708    4.65   -0.81   -0.94    0.36   -1.09   -0.50   -1.02   -1.07    1.63   -1.05   -1.16   -0.12   -0.97   -1.21   -0.79   -0.45   -1.85    2.14    0.89
196709    6.50    3.71    3.03    3.28    3.92    3.01    3.14    2.66    4.02    4.99    2.22    3.21    2.75    3.25    3.01    3.23    1.94    3.68    4.52
196710    1.44   -1.12   -3.88   -4.50   -0.07   -3.72   -3.64   -4.14   -5.42    1.59   -2.79   -3.65   -3.80   -2.23   -5.42   -5.18   -2.81   -5.48   -5.34
196711    4.74    1.51   -0.41    0.18    2.07    0.10   -0.63   -0.57    0.52    2.60    1.17    0.09    0.11   -0.33   -1.02   -0.70   -0.41    0.10    1.13
196712   -3.51    2.10    4.03    5.19    2.27    2.41    3.83    6.56    4.41    2.15    2.48    1.63    3.40    3.61    4.10    6.55    6.58    4.25    4.64
196801   -2.61   -5.65   -1.89   -1.40   -7.22   -1.38   -2.25   -2.18   -0.82   -8.94   -4.25   -1.53   -1.18   -2.08   -2.47   -2.00   -2.40   -2.13    1.05
196802  -10.29   -3.18   -2.70   -4.14   -3.45   -2.61   -2.59   -3.61   -4.12   -3.54   -3.30   -2.52   -2.74   -2.23   -3.05   -3.15   -4.18   -3.84   -4.52
196803    8.89    1.73   -0.93    0.55    2.65   -1.40   -0.39    0.18    0.93    3.68    0.96   -0.55   -2.47    0.06   -0.98    0.43   -0.14    2.22   -0.87
196804   16.55    9.86    7.08   11.94   11.30    6.25    7.12    9.95   12.15   11.58   10.82    6.18    6.33    5.45    9.35    8.68   11.57   10.79   14.11
196805    8.92    2.14    1.49    5.15    3.15    0.84    0.53    3.95    5.33    3.97    1.74   -0.54    2.59   -0.12    1.36    3.25    4.82    4.83    6.03
196806   -2.84    0.26    2.15    0.99   -0.56    2.23    2.60    2.47   -0.93   -1.66    1.37    2.52    1.87    2.70    2.48    0.83    4.47   -1.07   -0.74
196807   -2.47   -5.18   -1.31    2.62   -5.74   -3.50   -1.42    1.89    0.83   -5.79   -5.63   -3.50   -3.50   -2.71   -0.79    0.08    4.72    0.31    1.58
196808    4.91    1.23    2.10    1.61    1.05    2.33    1.96    1.79    1.44    0.79    1.68    1.78    3.11    2.41    1.74    1.77    1.81    0.92    2.17
196809    8.27    3.30    4.84    4.52    3.07    4.51    5.15    3.37    6.60    2.17    5.32    3.95    5.30    5.18    5.13    4.15    2.19    5.75    7.77
196810   -1.93   -1.47    2.29    2.58   -2.65    1.23    2.85    3.00    1.72   -3.33   -1.00    1.94    0.23    2.10    3.22    2.61    3.58    2.06    1.25
196811    5.22    6.44    4.93    6.64    6.84    5.67    4.40    5.41    7.29    7.82    4.54    5.34    6.14    7.43    2.93    5.07    5.91    7.81    6.58
196812    0.98   -4.48   -3.81   -2.16   -4.66   -4.19   -3.46   -3.78   -0.99   -4.98   -3.88   -3.97   -4.50   -3.98   -3.19   -3.96   -3.50   -0.67   -1.46
196901   -0.38   -1.96   -0.02   -0.41   -2.27   -0.60   -0.44    0.14   -0.42   -2.47   -1.78   -1.12    0.15    0.45   -0.89    0.51   -0.41   -0.78    0.10
196902  -12.40   -4.75   -4.96   -5.29   -4.48   -5.91   -4.86   -4.02   -6.70   -4.40   -4.68   -5.50   -6.48   -6.39   -4.09   -4.27   -3.63   -6.39   -7.15
196903    1.86    3.99    2.73    3.20    4.52    2.25    3.38    2.59    3.30    4.90    3.62    2.52    1.87    1.44    4.35    2.25    3.09    4.10    2.20
196904    2.36    3.33    1.92    0.28    3.87    1.92    0.87    1.98    0.59    4.01    3.52    1.79    2.10    2.56    0.06    3.36   -0.06    0.96    0.07
196905    0.63   -0.54    0.44    1.75   -0.22   -1.25    0.74    1.12    1.76   -0.44    0.32   -1.46   -0.95   -0.79    1.50    0.71    1.74    2.18    1.17
196906  -15.50   -3.56   -7.60   -8.24   -2.55   -7.42   -8.18   -6.50   -9.38   -1.05   -6.16   -6.52   -8.74   -9.08   -7.74   -6.19   -6.96   -9.87   -8.69
196907  -12.48   -5.41   -6.79   -6.82   -4.77   -6.63   -7.23   -5.92   -7.46   -4.88   -4.58   -6.91   -6.19   -7.76   -6.66   -6.41   -5.72   -8.06   -6.00
196908    2.25    7.09    5.13    2.92    7.74    5.95    5.11    2.78    3.13    7.93    7.40    5.52    6.62    5.27    4.95    3.29    2.57    3.40    2.51
196909    0.53   -0.36   -3.37   -4.08    0.17   -2.15   -3.91   -3.62   -4.10    0.50   -0.42   -1.66   -2.90   -2.49   -5.42   -2.57   -4.06   -4.33   -3.55
196910   13.53    6.65    6.81    3.24    6.82    5.89    7.20    4.27    3.48    5.85    8.55    6.25    5.35    7.12    7.28    7.71    2.81    2.39    6.05
196911   -9.92   -2.19   -4.23   -3.60   -1.69   -3.75   -4.15   -2.44   -4.80   -1.09   -2.73   -3.46   -4.21   -3.65   -4.71   -4.48   -1.54   -4.37   -5.79
196912  -10.61    0.09   -2.45   -3.09    0.53   -1.47   -2.53   -3.51   -2.62    0.15    1.21   -1.03   -2.15   -2.68   -2.36   -2.64   -3.88   -1.96   -4.12
197001   -2.92   -8.24   -7.03   -7.31   -8.16   -7.57   -7.31   -6.71   -7.85   -8.43   -7.68   -8.46   -6.15   -7.57   -7.03   -7.44   -6.40   -8.84   -5.52
197002    4.79    3.71    7.27    7.01    3.09    5.45    8.08    7.68    6.50    1.87    5.24    5.33    5.64    7.63    8.57    7.26    7.86    6.66    6.13
197003   -2.98   -2.76    0.04    2.21   -3.50   -0.78   -0.41    2.19    2.21   -3.08   -4.21   -0.85   -0.67   -0.58   -0.24    2.10    2.22    2.27    2.07
197004  -20.70  -11.93  -10.18   -7.76  -12.54   -9.80  -10.71   -8.78   -7.56  -13.01  -11.75  -10.38   -8.89  -11.64   -9.70  -10.42   -8.08   -7.34   -8.06
197005  -17.27   -8.71   -6.37   -3.07   -8.93   -6.73   -7.11   -5.11   -2.24   -7.98  -10.54   -8.16   -4.53   -8.45   -5.69   -6.81   -4.41   -1.21   -4.64
197006  -11.27   -6.47   -4.15   -4.49   -7.83   -3.29   -4.28   -5.69   -3.53   -9.84   -4.32   -3.18   -3.45   -4.05   -4.52   -4.71   -6.09   -3.52   -3.56
197007    7.09    4.92    9.46    8.00    4.20    8.61    9.32    9.53    7.67    1.78    8.36    8.59    8.63    8.71    9.82   10.09    8.47    8.65    6.39
197008   12.66    4.08    5.59    5.47    4.25    3.99    4.47    6.80    5.68    5.39    2.40    3.24    4.66    5.64    3.53    7.66    5.17    5.27    6.23
197009   17.06    8.21    1.21    3.92    8.39    5.08    0.56    1.71    4.74    8.83    7.68    7.31    3.10    1.03    0.17    1.18    2.75    3.57    6.29
197010  -11.54   -1.18   -2.29   -1.00   -0.75   -2.82   -3.05   -0.53   -2.19   -1.14   -0.11   -3.29   -2.39   -3.12   -2.98   -1.18    0.73   -1.63   -2.92
197011   -2.83    4.49    6.08    4.91    4.63    4.81    5.63    6.35    4.58    4.25    5.25    3.76    5.77    6.04    5.29    6.86    5.38    5.71    3.11
197012    4.40    5.05    7.04    6.80    4.57    7.38    8.04    5.80    7.19    4.39    4.88    7.51    7.27    8.16    7.94    5.56    6.26    6.10    8.66
197101   25.24    4.96    5.12    3.97    4.92    5.88    6.35    2.58    5.11    4.83    5.08    5.17    6.53    5.17    7.36    2.69    2.37    3.91    6.69
197102    0.88    2.45    0.49    2.76    2.54    2.34   -1.21    2.06    2.91    2.55    2.52    2.02    2.63    0.81   -2.88    1.81    2.54    2.93    2.88
197103    9.50    5.76    3.77    2.91    6.08    5.02    3.23    2.95    3.54    7.33    4.02    4.14    5.80    5.41    1.36    3.44    2.00    2.73    4.57
197104    8.26    3.77    3.24    3.67    3.84    3.54    2.62    3.67    3.91    3.43    4.55    3.40    3.65    3.69    1.67    3.86    3.32    3.59    4.30
197105   -5.83   -2.87   -4.13   -4.64   -2.89   -2.87   -4.24   -4.52   -4.86   -2.84   -2.97   -2.80   -2.93   -3.55   -4.87   -4.62   -4.32   -5.09   -4.58
197106   -8.24    0.97    0.02   -0.34    1.08    0.61    0.53   -0.58   -0.88    1.09    1.07    0.40    0.79    0.28    0.75   -1.12    0.46   -2.07    0.59
197107   -9.15   -4.64   -3.36   -4.28   -4.85   -3.60   -3.09   -3.85   -4.32   -5.12   -4.43   -3.75   -3.40   -4.38   -2.16   -3.69   -4.22   -3.72   -5.15
197108   11.29    6.20    2.09    2.76    6.45    4.86    2.44    0.95    2.90    5.78    7.53    5.19    4.44    4.98    0.64    0.27    2.54    1.23    5.23
197109   -3.42    0.47   -0.92   -2.05    0.52   -0.07   -0.83   -1.52   -2.02    1.06   -0.34    0.30   -0.55   -0.81   -0.85   -1.27   -2.09   -1.33   -2.95
197110   -4.19   -3.98   -3.43   -4.99   -3.60   -5.05   -3.87   -2.82   -5.44   -3.97   -3.00   -5.54   -4.42   -4.90   -3.11   -2.21   -4.22   -4.49   -6.74
197111   -2.16    0.66   -0.43   -1.12    1.04   -1.37   -0.36    0.36   -1.99    1.30    0.63   -0.95   -1.92   -0.63   -0.17    0.38    0.34   -1.49   -2.69
197112    9.66    9.34    8.97    9.05    9.41    9.52    9.00    7.96   10.11    8.99   10.07    9.07   10.12    9.69    8.50    8.23    7.31    9.82   10.53
197201   13.85    2.92    0.69    5.57    3.23    1.44    1.11    1.24    6.10    4.63    1.01    1.56    1.28    1.39    0.91   -0.23    4.69    5.56    6.85
197202    4.06    4.77    1.33    1.66    4.80    3.75    1.44    1.04    1.22    4.19    5.79    4.66    2.56    1.55    1.36    0.43    2.40    0.69    1.96
197203   -1.67    2.27   -0.43   -0.92    2.52    1.52   -0.24   -1.68   -1.14    3.50    0.94    1.17    1.98    0.78   -0.99   -2.20   -0.55   -2.71    0.99
197204    3.65    0.97    0.18   -0.54    0.80    1.35    0.48   -0.79   -0.28    0.94    0.57    1.72    0.86    2.57   -1.09   -0.70   -0.99   -0.24   -0.34
197205   -0.08    2.69    1.10   -0.52    3.22    0.43    1.16    0.89   -0.70    2.73    4.02    0.36    0.51   -0.04    2.09    1.40   -0.21    1.04   -3.00
197206   -8.55   -1.28   -2.17   -3.82   -0.92   -2.32   -3.03   -1.93   -4.23   -0.09   -2.27   -2.96   -1.48   -4.18   -2.15   -1.37   -3.15   -3.69   -4.97
197207   -2.39    0.54   -1.45   -0.90    1.38   -2.27   -1.26   -0.34   -2.06    1.13    1.57   -2.75   -1.55   -0.86   -1.77   -1.75    0.30   -2.08   -2.01
197208    0.77    0.60    5.48    7.48    0.08    3.60    5.61    6.46    8.25   -0.62    0.63    2.76    4.85    5.88    5.27    5.91    6.71    9.38    6.00
197209   -5.85   -0.39   -2.06    0.12   -0.01   -2.42   -1.70    0.55   -1.20    0.40   -0.34   -1.87   -3.21   -2.09   -1.18   -1.56    1.47   -0.74   -2.13
197210    1.82    0.46    1.17    1.55    0.56    0.20    1.70    0.93    2.12    1.63   -0.28    0.05    0.41    1.11    2.46    0.81    0.99    2.62    1.08
197211    1.51    2.15    7.41    7.58    1.35    5.66    7.98    7.65    7.56    0.20    2.26    5.47    5.93    7.23    8.94    7.78    7.59    7.03    8.67
197212   -4.56    2.93   -0.66   -0.30    3.26    1.01   -0.12   -0.30   -1.31    4.28    2.46    1.62    0.10    0.10   -0.40   -2.71    0.72   -1.20   -1.55
197301   -6.10   -2.27   -4.83   -0.58   -1.55   -4.86   -5.04   -2.26    0.07   -4.59    0.88   -5.17   -4.40   -4.55   -5.65   -4.82   -1.22    1.30   -2.52
197302   -6.17   -3.07   -4.95   -5.04   -2.74   -4.97   -4.79   -4.15   -6.05   -2.71   -2.76   -4.47   -5.70   -4.91   -4.64   -4.45   -4.03   -6.80   -4.43
197303   -1.91   -1.07   -0.65    0.40   -0.81   -1.83    0.26    0.05   -0.07   -0.99   -0.68   -2.18   -1.30    1.26   -1.04   -2.02    0.87    0.93   -2.20
197304   -5.89   -6.37   -4.44   -1.50   -6.28   -6.25   -4.44   -1.27   -2.51   -6.64   -6.01   -6.77   -5.47   -4.55   -4.30   -3.26   -0.52   -2.83   -1.80
197305   -8.72   -0.95   -1.93   -3.55   -0.57   -2.38   -1.93   -2.10   -4.97    0.01   -1.01   -2.61   -2.05   -1.44   -2.56   -1.83   -2.20   -5.38   -4.06
197306   -6.21   -0.78   -1.93   -0.14   -0.45   -2.88   -1.75    0.27   -0.81   -0.84   -0.16   -2.27   -3.77   -0.71   -3.13   -0.31    0.48   -0.29   -1.93
197307   10.75    6.98    3.94    3.35    6.76    7.23    4.46    2.09    4.10    5.10    9.90    7.99    6.20    8.21    2.63    2.04    2.20    2.62    6.80
197308   -5.63   -3.23   -3.16   -2.70   -3.57   -2.29   -3.18   -2.93   -2.90   -3.38   -3.91   -1.65   -3.17   -1.43   -4.08   -3.13   -2.39   -2.55   -3.50
197309   10.41    2.35    9.02    8.67    0.79    9.63    9.32    8.49    8.16   -1.34    4.65    9.43    9.91    9.61    9.16    8.13    9.45    8.12    8.24
197310    4.18    0.49   -1.20   -1.09    0.22    1.30   -0.46   -2.32   -2.03    0.67   -0.54    1.59    0.90    1.18   -1.32   -3.35    0.37   -1.04   -3.78
197311  -21.58  -12.25  -11.96  -12.67  -11.94  -13.87  -11.37  -11.35  -13.35  -11.60  -12.53  -13.53  -14.34  -12.23  -10.91  -11.24  -11.63  -12.35  -15.19
197312   -3.60   -1.25    4.85    2.48   -2.28    3.37    5.61    4.54    1.06   -2.57   -1.76    3.08    3.77    3.87    6.55    4.53    4.56    1.79   -0.31
197401   17.56   -1.75    0.82    6.26   -1.38   -1.61   -0.66    3.14    7.87   -2.45    0.49   -3.24    0.66    1.45   -1.76    2.81    3.98    7.04    9.47
197402    5.49   -0.75    0.53    2.16   -1.52    1.55   -0.35    1.95    1.76   -2.05   -0.61    2.33    0.51    1.04   -1.11    1.63    2.75    1.59    2.10
197403   -2.22   -1.86   -2.83   -2.23   -1.73   -2.32   -2.73   -3.25   -1.59   -1.24   -2.54   -2.36   -2.27   -2.07   -3.10   -3.28   -3.18   -2.62    0.35
197404   -7.20   -3.56   -5.24   -6.14   -3.22   -5.44   -5.04   -5.15   -6.39   -3.19   -3.29   -4.89   -6.21   -5.33   -4.88   -4.90   -5.76   -8.20   -3.09
197405   -8.73   -1.95   -5.06   -5.73   -0.86   -6.55   -6.43   -3.63   -5.00   -0.64   -1.23   -6.32   -6.87   -6.97   -6.13   -2.35   -6.80   -5.70   -3.78
197406   -2.77   -1.60   -2.22   -3.53   -1.56   -2.48   -2.54   -1.60   -4.04   -1.86   -1.05   -1.78   -3.46   -2.16   -2.76   -1.15   -2.76   -3.83   -4.39
197407   -8.88  -10.13   -2.51   -6.72  -10.87   -3.77   -3.33   -3.52   -4.49  -12.55   -7.28   -4.69   -3.25   -3.28   -3.37   -0.03   -8.97   -4.22   -4.77
197408   -8.36  -10.11   -6.72   -5.88   -9.77   -8.17   -7.49   -6.18   -7.31   -9.21  -10.91  -12.46   -5.81   -8.28   -6.64   -7.24   -4.36   -6.90   -7.74
