Month Less0   Lo30  Med40   Hi30   Lo20   Qnt2   Qnt3   Qnt4   Hi20   Lo10   Dec2   Dec3   Dec4   Dec5   Dec6   Dec7   Dec8   Dec9   Hi10
196407    0.66    0.66    2.72    4.36    0.47    1.95    2.11    2.57    5.39   -0.74    1.88    0.89    3.34    1.98    2.33    3.11    1.92    5.96    3.53
196408   -3.10   -1.76   -1.20    0.83   -2.19   -1.42   -1.24    0.14    1.08   -2.12   -2.26   -1.20   -1.70   -1.61   -0.61    0.09    0.20    1.36    0.16
196409    5.80    2.16    3.57    3.24    3.08    2.41    3.48    2.66    3.32    3.33    2.78    1.00    4.23    2.82    4.61    2.34    3.05    3.35    3.22
196410    1.17   -0.32    2.14    0.57   -0.46    1.29    1.56    1.39    0.35   -1.10    0.28   -0.13    3.07    1.77    1.21    1.62    1.11    0.67   -0.73
196411   -1.79    0.24    1.03   -1.03    0.71    1.09   -0.19   -0.10   -1.26   -0.43    2.02   -0.39    2.86    0.74   -1.74    0.19   -0.45   -1.86    0.79
196412   -0.91    0.91   -0.22    0.41    0.07    1.04   -0.12   -0.78    0.86    0.35   -0.23    2.00   -0.08    0.03   -0.38   -0.84   -0.71    1.30   -0.61
196501    7.36    4.41    2.85    4.10    5.52    2.96    2.29    4.63    3.70    6.38    4.56    2.99    2.94    1.24    4.10    4.28    5.07    3.63    3.95
196502    4.05    1.88   -0.66    0.06    2.64   -0.01   -1.37    1.70   -0.27    3.22    1.99    0.88   -1.07   -2.36    0.30    2.38    0.86   -0.62    0.94
196503   -0.66   -1.21   -1.54    0.63   -1.58   -1.63   -0.78   -0.24    0.71   -1.37   -1.82   -0.72   -2.74   -1.45    0.32   -0.77    0.43    1.11   -0.65
196504    4.16    3.94    2.26    4.46    4.90    2.41    2.09    2.96    5.14    5.87    3.77    2.66    2.11    0.96    3.91    3.07    2.83    6.17    1.55
196505   -0.95    0.03    0.03   -2.16   -0.57    1.23   -1.27   -0.76   -2.49   -0.58   -0.56    0.84    1.71   -0.12   -3.08   -0.29   -1.35   -2.95   -0.84
196506  -11.86   -4.80   -4.33   -5.97   -5.04   -4.44   -3.95   -5.54   -5.97   -5.83   -4.11   -4.47   -4.41   -3.00   -5.50   -5.20   -5.97   -6.28   -4.88
196507    4.13    2.25    0.85    2.25    2.53    0.87    1.70    1.34    2.08    3.53    1.48    1.75    0.12    1.02    2.50    0.70    2.64    2.13    1.93
196508    7.44    4.09    1.94    2.85    4.95    1.98    3.01    1.90    2.43    4.90    5.01    2.49    1.54    4.25    1.57    0.95    3.82    2.38    2.57
196509    4.59    3.50    2.92    3.01    3.53    3.03    3.13    2.34    3.81    2.17    4.99    3.43    2.68    3.45    2.75    2.94    1.16    4.30    2.41
196510    7.50    3.10    1.73    4.72    3.87    0.80    2.50    3.45    4.94    3.80    3.93    1.65    0.05    2.84    2.09    3.06    4.21    5.43    3.49
196511    7.79    1.91   -0.81   -2.06    1.95   -0.41    0.59   -0.75   -2.44    3.09    0.75    1.83   -2.41   -0.45    1.88   -0.56   -1.14   -3.66    1.18
196512    4.65    1.60    0.58    1.74    2.04    0.27    0.53    2.07    1.30    0.81    3.35    0.76   -0.18    0.66    0.38    1.72    2.76    1.30    1.31
196601    4.64    1.08    0.19    2.17    1.37    0.07   -0.11    1.51    2.35    1.48    1.26    0.50   -0.34   -1.03    0.99    1.38    1.76    1.54    4.65
196602    5.17   -0.32   -1.77   -1.31    0.65   -1.41   -2.79   -1.60   -1.39    3.15   -1.98   -2.25   -0.62   -2.48   -3.16   -1.85   -1.13   -1.72   -0.46
196603   -0.99   -0.38   -3.06   -4.05    0.81   -3.49   -1.96   -3.39   -4.18    0.90    0.72   -2.83   -4.10   -2.32   -1.54   -3.20   -3.74   -4.68   -2.79
196604    7.46    3.72    1.89   -0.64    4.56    2.07    1.56    1.50   -1.22    4.56    4.56    1.92    2.21    1.78    1.30    1.92    0.69   -1.82    0.39
196605  -11.18   -4.76   -4.55   -6.28   -5.51   -3.75   -4.09   -5.75   -6.28   -5.38   -5.65   -3.12   -4.36   -4.24   -3.92   -5.47   -6.29   -6.53   -5.62
196606    2.62   -0.98   -1.48   -1.35   -0.43   -1.15   -2.20   -1.47   -1.99   -0.52   -0.33   -2.17   -0.17   -3.42   -0.77   -2.25    0.09   -2.24   -1.35
196607   -2.03   -2.27   -0.69   -0.41   -2.21   -1.35   -0.87   -0.47   -0.57   -1.85   -2.79   -2.39    0.22   -0.98   -0.82   -1.02   -0.10   -0.55   -0.58
196608   -9.58   -8.13   -7.04   -6.91   -7.77   -8.44   -6.77   -7.02   -7.04   -8.60   -6.43   -8.99   -7.63   -8.28   -5.94   -7.59   -6.65   -6.05   -7.86
196609   -2.77   -2.21    0.64    0.00   -2.69   -0.52    0.74   -0.18    0.39   -4.09   -0.49   -1.03    0.24   -1.84    2.13    0.67   -0.73   -0.59    1.23
196610   -5.77    2.22    7.28    4.40    0.46    6.35    7.60    7.62    2.50    0.44    0.49    6.50    6.14    5.32    8.78    7.17    7.91    5.31    0.18
196611   12.82    7.45   -0.99   -3.45    9.56    1.65   -1.37   -2.20   -3.63   12.31    5.40    2.62    0.23   -0.59   -1.76   -0.73   -3.15   -2.03   -5.00
196612    1.92   -0.21    1.02    0.54    0.23   -0.30    0.56    1.54    0.53    0.91   -0.88   -1.29    1.19    0.59    0.54    3.03    0.55    0.18    0.85
196701   16.63    8.37    6.60   10.58    9.18    6.99    6.15    6.51   13.12    9.24    9.07    6.37    7.91    7.36    5.55    7.01    6.17   12.40   13.76
196702    4.53    3.21    0.04   -1.14    3.97    1.46   -0.24   -1.24   -0.94    5.44    1.55    1.27    1.74   -1.20    0.26   -0.87   -1.50   -0.32   -1.49
196703    6.92    4.93    3.57    4.20    5.16    4.01    3.46    4.15    4.19    5.21    5.08    4.31    3.58    4.06    3.16    4.04    4.22    3.70    4.64
196704    5.09    6.02    2.58    3.71    6.16    5.23    1.93    2.14    4.83    6.10    6.26    5.65    4.63    3.08    1.34    2.90    1.63    1.78    7.52
196705   -2.16   -4.81   -3.59   -3.55   -4.67   -4.18   -3.93   -3.18   -3.77   -5.22   -3.73   -5.19   -2.67   -3.60   -4.10   -3.24   -3.14   -2.23   -5.06
196706   10.72    3.03    2.23    0.87    3.19    2.67    1.97    1.72    0.80    3.69    2.36    2.60    2.76    1.85    2.03    2.75    1.01    1.73    0.00
196707    8.99    3.91    4.52    6.23    3.65    5.14    4.09    5.16    6.60    4.15    3.00    4.74    5.49   11.45    0.99    4.78    5.45    7.26    5.75
196708   -0.30   -0.97   -0.76    0.16   -1.05   -0.26   -1.11   -0.78    0.61   -1.08   -1.00   -0.74    0.15   -1.63   -0.87   -0.77   -0.79    0.39    0.91
196709    6.93    4.11    2.61    2.98    4.75    1.82    3.33    2.05    3.13    5.46    3.80    2.04    1.63    2.05    3.92    1.25    2.67    3.26    2.96
196710    0.64    0.12   -4.37   -4.51    1.52   -4.42   -3.97   -5.62   -4.12    3.91   -1.83   -4.44   -4.40   -6.80   -2.68   -5.97   -5.35   -5.16   -2.75
196711    0.83    2.31    0.04   -0.51    2.70    0.30    0.02    0.88   -1.24    2.37    3.18    0.96   -0.27    0.95   -0.38    0.61    1.09   -1.47   -0.93
196712    7.69    2.98    3.30    2.75    2.55    3.63    3.08    3.88    2.59    2.78    2.21    4.50    2.86    2.97    3.12    4.95    3.10    2.89    2.22
196801   -7.17   -7.14   -2.02    0.18   -8.07   -3.77   -1.50   -0.64    0.21   -8.83   -6.92   -3.93   -3.63   -3.45   -0.66   -1.66    0.13   -0.99    1.77
196802   -9.03   -3.99   -2.74   -1.55   -4.12   -3.88   -2.40   -1.72   -1.54   -4.01   -4.28   -3.57   -4.17   -2.92   -2.18   -1.93   -1.57   -1.57   -1.50
196803    1.47    3.19   -0.92   -0.62    3.45    2.03   -1.76   -1.03   -0.58    4.05    2.56    2.33    1.76   -1.62   -1.82   -1.46   -0.72   -1.57    0.68
196804   17.93   12.22    6.98    6.82   12.57   10.98    5.58    7.09    6.53   12.52   12.64   11.01   10.95    8.23    4.48    6.61    7.44    7.32    5.55
196805    9.72    4.13    1.09    1.24    4.36    2.16    0.85    2.07    0.80    4.90    3.55    3.29    1.16    1.29    0.67    1.94    2.16    0.30    1.42
196806   -2.80   -0.71    2.77    2.42   -0.86    0.28    3.03    3.49    2.46   -1.19   -0.37   -0.16    0.67    1.95    3.51    5.11    2.35    2.63    2.25
196807   -4.72   -5.66   -1.39    0.94   -5.48   -3.79   -2.19    0.21    1.04   -5.61   -5.29   -6.30   -1.33   -1.87   -2.42   -0.12    0.61   -0.40    2.35
196808    2.19    1.80    2.05    1.45    1.86    1.52    2.22    2.12    1.29    0.81    3.46    1.59    1.45    1.48    2.76    2.24    1.98    1.61    1.00
196809    8.23    2.84    5.54    4.11    2.42    5.05    5.62    5.69    3.45    2.57    2.20    4.35    5.71    6.51    4.96    5.30    6.16    3.66    3.26
196810   -1.63   -1.93    2.02    2.97   -2.38    0.08    2.22    2.33    3.40   -3.79   -0.28   -0.34    0.47    0.55    3.49    2.89    1.68    3.23    3.55
196811    9.47    6.83    5.69    4.58    7.42    5.79    4.75    6.49    3.92    8.67    5.63    4.76    6.74    5.35    4.31    6.36    6.64    5.63    2.40
196812   -1.30   -4.53   -3.57   -3.05   -4.97   -3.99   -3.26   -2.54   -3.40   -4.70   -5.37   -2.97   -4.92   -3.24   -3.27   -3.01   -1.97   -3.71   -3.12
196901   -1.96   -1.91   -0.80    0.58   -2.39   -0.72   -0.44   -0.77    0.91   -2.53   -2.20   -0.19   -1.21   -0.18   -0.63   -1.06   -0.43    0.67    1.13
196902  -11.30   -4.86   -5.28   -4.22   -4.78   -4.89   -6.17   -5.23   -3.55   -4.72   -4.87   -5.13   -4.67   -6.07   -6.24   -4.36   -6.26   -4.18   -2.98
196903    3.77    4.16    2.71    2.53    4.29    2.83    2.12    4.69    1.63    5.10    3.08    3.71    2.01    1.80    2.37    4.16    5.32    0.42    2.71
196904    3.34    3.10    1.65    1.29    3.27    2.44    1.49    0.85    1.64    3.48    2.95    2.53    2.36    2.50    0.75    1.37    0.24    3.95   -0.36
196905   -0.30   -0.15    0.29    0.96    0.04    0.51   -0.55    0.97    0.73   -0.96    1.56   -0.82    1.79   -1.40    0.09    0.42    1.63   -0.08    1.45
196906  -12.33   -3.99   -7.47   -6.72   -3.53   -6.83   -6.89   -8.39   -6.00   -1.01   -7.30   -5.63   -7.96   -6.47   -7.19   -7.99   -8.86   -6.20   -5.83
196907  -10.11   -5.53   -7.77   -5.51   -5.35   -7.56   -6.68   -7.06   -4.71   -5.07   -5.85   -6.02   -9.47   -6.13   -7.27   -8.21   -6.37   -4.52   -4.82
196908    8.71    7.66    4.59    2.13    7.92    6.06    5.11    3.63    0.66    7.77    8.18    6.97    4.89    4.42    5.86    3.46    3.72    1.24    0.31
196909   -2.64   -0.73   -3.59   -3.41   -1.06   -0.71   -2.94   -5.00   -2.50    0.01   -3.01    0.20   -1.90   -1.82   -4.13   -6.09   -4.37   -3.84   -1.68
196910    9.33    6.48    5.24    3.91    6.31    6.28    5.29    3.83    4.63    6.02    6.84    6.94    5.40    6.87    3.57    5.02    3.16    5.94    3.83
196911   -4.91   -2.18   -3.97   -3.57   -2.12   -2.64   -3.77   -3.56   -4.43   -1.10   -4.00   -2.36   -3.01   -3.91   -3.62   -5.14   -2.65   -4.99   -4.08
196912   -6.86    0.18   -2.03   -3.36    0.03   -0.25   -2.55   -3.14   -2.76    0.14   -0.20    0.59   -1.40   -1.87   -3.32   -1.64   -3.98   -2.03   -3.21
197001  -11.07   -7.96   -8.90   -4.58   -8.33   -7.95   -7.83   -7.12   -4.02   -8.25   -8.49   -6.98   -9.30   -6.94   -8.84  -10.45   -5.18   -4.59   -3.65
197002    3.61    4.11    6.76    6.88    3.20    6.38    6.40    6.60    7.81    2.45    4.66    6.52    6.18    5.65    7.29    7.94    5.86    8.52    7.37
197003   -6.09   -2.74    0.49    2.75   -2.56   -2.19    0.96    1.76    3.12   -2.63   -2.41   -3.20   -0.72    1.43    0.43    0.71    2.35    2.03    3.79
197004  -22.75  -11.61   -9.76   -7.01  -11.78  -11.67   -8.77   -7.86   -6.95  -12.44  -10.55  -11.15  -12.39   -9.02   -8.47   -9.29   -7.08   -8.20   -6.19
197005  -12.20   -8.89   -5.61   -3.27   -8.97   -8.10   -5.93   -2.37   -4.70   -8.13  -10.53   -8.68   -7.27   -7.16   -4.49   -3.65   -1.68   -5.28   -4.35
197006   -9.98   -6.60   -2.74   -5.48   -7.75   -3.78   -0.97   -5.51   -5.17   -9.47   -4.46   -3.64   -3.96   -1.09   -0.83   -4.93   -5.82   -5.36   -5.05
197007    4.96    4.49    9.88    9.12    3.87    8.69    8.62   10.89    7.06    2.85    5.02    6.92   10.15    8.38    8.89   11.13   10.67    7.31    6.67
197008    7.84    4.33    4.27    6.86    4.44    3.22    5.68    5.87    5.75    5.60    3.15    3.92    2.65    5.49    5.88    3.93    7.68    6.53    4.48
197009   19.01    7.09    1.99    1.96    7.72    3.95    2.37    0.72    3.39    9.32    5.91    4.68    3.37    1.90    2.89    0.47    0.94    2.12    5.50
197010   -9.28   -0.80   -2.12   -1.33   -0.47   -1.83   -2.07   -1.21   -3.19   -0.56   -0.35   -2.11   -1.60   -3.30   -0.74   -2.59    0.03   -2.36   -4.51
197011    1.29    4.90    4.77    6.94    4.70    4.38    5.28    6.33    6.55    4.06    5.45    5.68    3.32    4.49    6.13    5.32    7.22    7.96    4.26
197012    4.00    5.16    7.37    6.59    4.93    7.24    7.07    6.47    7.49    4.16    5.82    6.08    8.21    8.54    5.55    7.05    5.96    7.61    7.28
197101   13.21    5.06    5.50    3.06    4.72    5.58    4.84    3.37    6.78    5.26    4.09    6.40    4.91    5.21    4.44    6.77    0.42    6.04    8.02
197102    3.55    2.36    0.73    1.66    2.32    2.86    1.32    0.06    1.40    2.85    1.73    2.50    3.16    0.46    2.24   -1.88    1.85    0.99    2.08
197103    8.28    5.97    3.03    2.95    6.10    4.66    4.14    2.31    2.11    6.89    5.17    5.48    3.98    4.60    3.66    0.86    3.59    1.80    2.61
197104    3.95    3.94    3.11    3.55    3.78    4.28    3.04    2.99    3.64    3.14    4.53    4.58    4.04    2.01    4.13    2.41    3.49    2.70    5.20
197105   -5.83   -2.73   -4.15   -4.21   -2.64   -3.46   -3.67   -4.69   -4.01   -3.72   -1.39   -3.07   -3.79   -2.65   -4.73   -5.08   -4.36   -3.99   -4.04
197106   -2.18    0.99    0.59   -0.69    0.91    1.13    0.22   -0.26   -0.12    1.61    0.12    1.33    0.95   -1.30    1.84    0.74   -1.13    1.42   -2.60
197107   -9.21   -4.75   -3.49   -2.81   -5.95   -2.85   -3.82   -3.00   -2.63   -5.66   -6.15   -2.06   -3.71   -6.03   -1.66   -2.91   -3.12   -2.60   -2.72
197108    6.96    5.16    6.15   -0.07    4.79    6.71    5.12    2.84    0.43    3.70    5.55    5.96    7.54    5.48    4.79    5.98   -0.98   -1.19    4.23
197109   -1.54    0.42   -0.78   -1.17   -0.04    0.30   -1.19   -0.73   -1.04    0.88   -0.67    1.41   -0.92   -1.30   -1.09   -0.21   -1.41    0.06   -3.49
197110   -7.18   -3.98   -4.69   -2.42   -3.93   -4.03   -5.55   -3.98   -1.90   -5.03   -3.17   -4.07   -3.98   -5.03   -6.04   -4.44   -3.38   -2.15   -1.33
197111   -3.22    1.01   -0.41   -0.38    0.88    0.86   -1.40   -0.08   -0.57    0.89    0.88    1.26    0.41   -1.90   -0.93   -0.12   -0.03   -0.63   -0.42
197112   13.15   10.13    7.91    8.28   10.55    8.67    9.14    7.78    7.66   10.24   10.76    9.25    8.03    9.95    8.38    6.52    9.42    7.67    7.64
197201   11.13    3.53    1.41    1.21    4.49    1.36    1.91    0.32    2.22    4.02    4.81    1.49    1.21    1.48    2.32    1.06   -0.64    1.39    4.12
197202    3.22    5.86    1.87    0.18    5.42    4.64    3.05    0.67   -0.31    7.91    3.74    6.82    2.15    2.67    3.40    0.33    1.10   -0.49    0.10
197203    0.50    1.71    1.83   -1.91    1.70    2.18   -0.49    0.82   -1.51    1.53    1.83    1.71    2.74   -1.17    0.16    3.51   -2.64   -2.01   -0.38
197204   -0.07    1.23    1.02   -1.03    1.35    1.66    0.75   -0.18   -1.43    2.26    0.72    0.97    2.47    1.17    0.36   -0.11   -0.27   -1.31   -1.68
197205    0.65    3.94   -0.69    1.08    4.37    1.76   -0.45   -0.25    0.54    5.55    3.54    2.99    0.32   -0.59   -0.32   -1.96    2.08    1.48   -1.53
197206   -3.80   -0.94   -3.25   -2.12   -1.33   -1.62   -3.69   -2.44   -2.02   -0.94   -1.62   -0.08   -3.47   -5.04   -2.43   -2.55   -2.29   -2.07   -1.91
197207   -5.95    1.14   -1.53   -0.40    1.51   -0.43   -1.60   -1.00   -0.35   -0.47    2.75    0.14   -1.23   -0.76   -2.29   -1.81   -0.50   -0.22   -0.62
197208    1.31    0.19    5.87    7.56    0.19    2.03    6.73    8.05    6.55    0.62   -0.06    0.19    4.67    5.62    7.66    5.69    9.47    7.91    3.51
197209   -4.49   -0.06   -2.17    0.44    0.21   -1.22   -2.64   -0.60    0.69   -0.54    0.66   -0.79   -1.82   -3.12   -2.23   -1.60   -0.01    1.05   -0.12
197210   -0.65    0.47    0.66    2.24    0.14    1.21    0.35    0.33    3.45    0.79   -0.25    1.36    0.99    1.20   -0.34    0.90    0.01    3.25    3.90
197211    3.53    2.04    7.18    7.71    1.36    4.63    6.59    8.82    7.75    0.56    1.85    3.88    5.68    5.36    7.60   10.89    7.63    7.75    7.75
197212   -1.53    2.93    0.12   -0.50    3.38    1.74   -0.96    0.10   -0.76    3.53    3.29    1.77    1.70   -0.40   -1.42    0.28   -0.01    0.29   -3.22
197301   -8.40   -1.49   -5.37   -0.10   -0.93   -4.06   -5.00   -2.18   -0.18   -3.84    0.82   -2.96   -5.56   -5.28   -4.76   -5.92    0.06    0.44   -1.70
197302  -10.57   -2.55   -4.84   -4.49   -2.42   -3.49   -5.22   -6.11   -3.23   -4.40   -1.29   -2.90   -4.32   -5.44   -5.03   -4.73   -6.89   -4.01   -1.30
197303   -2.62   -0.97   -1.33    0.91   -0.43   -1.91   -1.92    1.05    0.46   -2.06    0.47   -2.45   -1.15   -3.52   -0.62   -0.24    1.80    1.43   -1.89
197304  -10.90   -6.25   -4.96   -0.44   -6.66   -5.64   -4.45   -2.41    0.14   -7.98   -5.95   -5.08   -6.42   -4.76   -4.20   -3.90   -1.57    0.02    0.45
197305  -10.31   -0.65   -2.23   -2.66   -0.84   -1.33   -1.34   -4.22   -1.55   -0.06   -1.25   -0.15   -3.00   -1.61   -1.13   -3.11   -4.83   -1.72   -1.12
197306   -5.82   -0.36   -2.40    0.24   -0.39   -0.75   -2.20   -1.61    0.42   -1.10   -0.01   -0.27   -1.45   -2.80   -1.73   -4.25   -0.12    0.93   -0.87
197307   16.77    6.49    3.62    1.90    5.71    8.10    4.43    2.50    0.77    5.88    5.56   10.13    5.25    3.30    6.01    1.39    5.37    1.28   -0.14
197308   -4.12   -3.29   -2.91   -2.95   -3.61   -1.89   -2.81   -3.93   -2.42   -3.37   -3.83   -1.83   -1.97   -3.99   -1.20   -3.70   -4.53   -3.24   -0.94
197309   12.36    1.34    9.76    7.87   -0.20    9.60    9.23    9.86    6.69    1.75   -1.96    8.18   11.68    8.63   10.03    9.23   11.47    7.44    5.35
197310    0.55    0.92   -0.91   -2.20    0.92    1.15   -0.12   -2.74   -2.92   -0.78    2.52    0.90    1.51   -0.72    0.67   -3.80   -0.10   -3.86   -1.22
197311  -21.40  -11.10  -11.81  -11.91  -11.31  -11.58  -12.00  -11.42  -11.13  -12.13  -10.56  -10.25  -13.44  -10.55  -13.88  -10.30  -14.09  -12.68   -8.41
197312    0.45   -1.42    5.76    1.75   -2.04    2.31    6.81    4.34    1.71   -1.27   -2.72    1.08    4.10    5.70    8.29    5.33    1.86    1.99    1.24
197401    9.00   -2.27   -0.03    6.53   -1.92   -2.15   -1.97    4.15    6.34   -3.66   -0.35   -3.63   -0.06   -2.49   -1.29    3.02    7.06    6.56    5.98
197402    0.63   -0.82    0.86    1.61   -1.26    1.11   -0.48    2.78    0.97   -2.25   -0.39    0.92    1.36   -0.26   -0.76    2.51    3.45    0.23    2.21
197403   -4.10   -1.75   -2.80   -2.41   -1.34   -3.42   -2.59   -2.45   -2.51   -1.06   -1.59   -3.34   -3.54   -3.74   -1.11   -2.58   -2.13   -1.58   -4.04
197404   -4.97   -3.70   -4.56   -6.46   -3.40   -4.82   -4.80   -4.07   -7.36   -4.31   -2.60   -4.90   -4.71   -4.13   -5.64   -4.11   -3.97   -5.58  -10.40
197405   -7.96   -1.64   -5.25   -3.46   -0.81   -5.68   -6.40   -3.14   -3.18    1.13   -2.47   -5.03   -6.57   -6.62   -6.12   -2.71   -4.21   -1.43   -6.32
197406   -5.38   -1.19   -1.57   -3.30   -1.24   -1.05   -2.42   -0.89   -3.99   -1.82   -0.72   -0.99   -1.13   -2.74   -2.01   -0.68   -1.43   -3.38   -5.16
197407   -8.74  -10.50   -3.95   -3.05  -11.15   -6.89   -3.24   -3.00   -3.76  -11.64  -10.85   -7.91   -5.48   -3.27   -3.19   -3.53   -1.94   -0.75   -6.16
